subject_id,condition,task,freq,emg_coh_arearate,emg_coh_med,emg_hp_coh_arearate,emg_hp_coh_med
P13,75g,12,3,3.491075135,0.924487895,3.572229141,0.924677015
P13,75g,12,4,2.674346202,0.90844227,2.78611457,0.913002702
P13,75g,180,1,4.106177418,0.929679331,3.24309554,0.933443324
P13,75g,180,2,3.660095638,0.927478864,3.399043623,0.928306333
P13,75g,180,3,3.56445789,0.924393583,3.618815263,0.9249396
P13,75g,180,4,2.736898604,0.912166536,2.696203767,0.912125561
P13,75g,180,1,3.571090281,0.92686971,2.622792304,0.933364007
P13,75g,180,2,3.49728663,0.927390497,3.570596941,0.925664479
P13,75g,180,3,3.391909225,0.924592022,3.377405032,0.925162526
P13,75g,180,4,2.654859398,0.910467091,2.624370992,0.910351331
P13,75g,90,1,4.410067819,0.937210235,4.649727768,0.941088388
P13,75g,90,2,3.688986532,0.92662442,4.00926545,0.93055612
P13,75g,90,3,3.59786035,0.927334311,3.558410545,0.919792704
P13,75g,90,4,2.847358869,0.916784178,2.812971631,0.910286044
P13,75g,90,1,4.198561841,0.930884958,4.17075743,0.933162984
P13,75g,90,2,3.823394056,0.928912891,3.796164909,0.927046731
P13,75g,90,3,3.62464046,0.927506916,3.626270374,0.920574665
P13,75g,90,4,2.831447747,0.914055307,2.845733461,0.910890893
P13,75g,90,1,4.093492469,0.931691003,4.033248082,0.936268434
P13,75g,90,2,3.944965426,0.931131344,3.763474472,0.927066359
P13,75g,90,3,3.529885384,0.924016488,3.572321682,0.923101962
P13,75g,90,4,2.830823151,0.914722806,2.770199867,0.912182436
P14,0g,0,1,3.938372093,0.949902767,2.952034884,0.947530305
P14,0g,0,2,3.419767442,0.942261471,3.059883721,0.92464073
P14,0g,0,3,3.20494186,0.930110169,3.454069767,0.928034899
P14,0g,0,4,2.730232558,0.924798384,2.390697674,0.916818234
P14,0g,0,1,3.708498325,0.954153862,4.491014316,0.957062321
P14,0g,0,2,3.241851965,0.935389659,3.425525434,0.939419668
P14,0g,0,3,3.390191898,0.935038129,3.203167834,0.927705025
P14,0g,0,4,2.501370698,0.919081971,2.513554676,0.91828317
P14,0g,0,1,4.493611111,0.954200656,5.041111111,0.958691354
P14,0g,0,2,3.3825,0.936215665,3.303888889,0.937287069
P14,0g,0,3,3.4825,0.934390641,3.614722222,0.935857338
P14,0g,0,4,2.379444444,0.912999056,2.616666667,0.916876079
P14,0g,12,1,3.585217391,0.946234343,2.432173913,0.932769921
P14,0g,12,2,3.206956522,0.932834238,3.575942029,0.935033871
P14,0g,12,3,3.566956522,0.932354758,3.088405797,0.922622183
P14,0g,12,4,2.755072464,0.923676784,2.516231884,0.919375463
P14,0g,12,1,3.073129822,0.958702875,2.580006709,0.938098288
P14,0g,12,2,3.005367326,0.936174344,2.929553841,0.934294918
P14,0g,12,3,3.043609527,0.928458558,2.979872526,0.93062332
P14,0g,12,4,2.256625294,0.913071852,2.427373365,0.914548336
P14,0g,12,1,3.24288532,0.942926617,3.348267117,0.94727094
P14,0g,12,2,3.119752043,0.939625679,3.614821076,0.935665874
P14,0g,12,3,3.609467456,0.932539827,3.602704987,0.92772478
P14,0g,12,4,2.642716258,0.921233255,2.446604677,0.9146381
P14,0g,180,1,2.724627876,0.95775933,1.864343708,0.934846179
P14,0g,180,2,3.168809202,0.931393158,3.387347767,0.934035916
P14,0g,180,3,3.173545332,0.932515172,3.228687415,0.927987097
P14,0g,180,4,2.47902571,0.916334058,2.167794317,0.913132043
P14,0g,180,1,1.969767442,0.946692176,2.815116279,0.941599704
P14,0g,180,2,2.809011628,0.933833485,2.885174419,0.932531095
P14,0g,180,3,2.904651163,0.926711105,3.09244186,0.923311046
P14,0g,180,4,2.393895349,0.916661394,2.441569767,0.912953355
P14,0g,90,1,3.100725689,0.95690958,3.693468795,0.950253737
P14,0g,90,2,3.454862119,0.939757378,3.240638607,0.929918073
P14,0g,90,3,3.465892598,0.931960229,3.323076923,0.930489614
P14,0g,90,4,2.65892598,0.916802466,2.432801161,0.912394172
P14,0g,90,1,2.176798661,0.939214927,3.022587842,0.947450635
P14,0g,90,2,2.836865588,0.943054326,2.952593419,0.930811893
P14,0g,90,3,3.137479085,0.931647481,3.011433352,0.93244516
P14,0g,90,4,2.313998885,0.908692837,2.271611824,0.912625456
P14,0g,90,1,2.970694864,0.943079346,2.659214502,0.935480505
P14,0g,90,2,2.86978852,0.934478545,3.50060423,0.940348109
P14,0g,90,3,3.355891239,0.935592072,3.011782477,0.929617902
P14,0g,90,4,2.319335347,0.914982758,2.63836858,0.915342853
P14,25g,0,1,3.427484236,0.945342285,4.374646662,0.95930425
P14,25g,0,2,3.584257447,0.933986515,3.886931942,0.927621693
P14,25g,0,3,3.682757121,0.93450821,3.459230267,0.928183329
P14,25g,0,4,2.775385953,0.923940076,2.770819743,0.920900384
P14,25g,0,1,3.936944938,0.951659928,4.627220249,0.954415489
P14,25g,0,2,4.075488455,0.93911567,4.065053286,0.939566752
P14,25g,0,3,4.039742451,0.944223748,3.618117229,0.932442018
P14,25g,0,4,2.729351687,0.920860049,2.527309059,0.917625957
P14,25g,0,1,4.537966252,0.949837418,4.63321492,0.957465481
P14,25g,0,2,3.954484902,0.943494879,3.757326821,0.942285799
P14,25g,0,3,4.082149201,0.945096022,3.605683837,0.931005824
P14,25g,0,4,2.731349911,0.918716295,2.537300178,0.91693634
P14,25g,12,1,3.220674157,0.936067003,3.666741573,0.9392921
P14,25g,12,2,3.438876404,0.939724061,3.095505618,0.928412096
P14,25g,12,3,3.391235955,0.930028058,3.054606742,0.922868304
P14,25g,12,4,2.473258427,0.91517379,2.279101124,0.908672486
P14,25g,12,1,2.976962648,0.947019736,2.765376873,0.941474991
P14,25g,12,2,3.447998211,0.936021319,3.338626705,0.927208735
P14,25g,12,3,3.048087676,0.920177808,3.129053903,0.926750016
P14,25g,12,4,2.558040707,0.916850847,2.651979423,0.921233457
P14,25g,12,1,3.121178308,0.939454097,2.945771033,0.934495224
P14,25g,12,2,3.442981477,0.934993528,3.128542736,0.929033892
